"","1","3","4","7","8","13","26","30","34","38","42","45","55","61","63","69","90","91","99","101","103","105","112","115","117","127","131","134","136","142","157","161","163","236","238","245","268"
"1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3",0,NA,0,0,0,0,0,1,1,3,1,0,2,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,2,0,5,0,0,0,1,0,0
"4",0,0,NA,0,0,0,2,0,2,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0
"7",0,1,1,NA,15,4,3,0,0,12,4,0,2,0,0,5,0,2,0,0,1,8,4,0,5,0,0,4,0,0,9,0,1,0,0,3,0
"8",0,4,3,0,NA,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,4,0,1
"13",0,2,0,0,0,NA,0,2,0,2,1,1,0,0,0,5,2,0,1,0,2,0,0,0,6,0,0,0,0,3,0,2,12,3,0,0,3
"26",0,0,0,0,2,0,NA,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"30",0,0,2,3,2,0,0,NA,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,4,0,0,0,2,4,5,0,0,0,1,0,0
"34",0,0,0,1,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,1,2,0,1,1
"38",0,0,0,0,0,0,0,0,2,NA,2,1,4,0,0,1,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0
"42",0,0,0,0,2,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
"45",0,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"55",1,0,0,0,0,2,0,0,0,0,0,1,NA,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,1,4,0,1,2,0
"61",0,1,0,0,0,5,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,4,0,0,9,0,2,0,2,0,0,0,0,2,0,NA,0,2,0,1,0,0,1,0,5,0,0,0,0,8,1,1,7,1,0,0,6
"90",0,0,1,3,9,0,0,1,1,0,1,0,1,0,0,1,NA,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
