name,ranking,tier,LP,level,win,lose,winratio
¹ÙÀ§°Ô³»²¨¾ß,2, Challenger,1208,41,97,38,72%
quaddd,3, Challenger,1237,71,332,221,60%
°Å´ëÇö,14,Challenger,969,57,270,180,60%
justbepatient,16,Challenger,938,147,761,692,52%
zzzzzzzzzzzz1,31,Challenger,814,98,478,419,53%
lazyson,42,Challenger,754,44,119,73,62%
jiangyouping,45,Challenger,731,59,294,182,62%
»Ç¿À»Ç¿À,47,Challenger,706,53,150,93,62%
dubiad,50,Challenger,718,93,566,473,54%
GabrielCRO,52,Challenger,707,139,712,624,53%
±¸¸¶À¯½Ã,53,Challenger,722,198,973,920,51%
Billys,54,Challenger,705,117,569,499,53%
babyhang,55,Challenger,704,123,608,542,53%
¼öÀÔ»Ñµå,57,Challenger,697,123,605,552,52%
¹«¸­À»¶Ç²İ¾ú³×,60,Challenger,696,140,904,863,51%
daydayupup,65,Challenger,664,130,681,632,52%
Trud,66,Challenger,663,46,155,73,68%
lovejiaobao,67,Challenger,659,129,835,743,53%
IruguN,68,Challenger,658,96,375,316,54%
